sentence,missingWord,translation,translationWithUnderline
"Every industry has some way to facilitate ______ within that industry.","networking","Her sektörün, o sektör içinde ağ kurmayı kolaylaştırmanın bir yolu vardır.","Her sektörün, o sektör içinde <u>ağ kurmayı</u> kolaylaştırmanın bir yolu vardır."
"His ______s became suspicious when he did not appear at work, since he was always punctual.","colleague","Her zaman dakik olduğu için işe gelmediğinde meslektaşları şüphelendi.","Her zaman dakik olduğu için işe gelmediğinde <u>meslektaşları</u> şüphelendi."
"Do you have any previous ______ of this type of work?","experience","Bu tür bir işte daha önce herhangi bir deneyiminiz var mı?","Bu tür bir işte daha önce herhangi bir <u>deneyiminiz</u> var mı?"
"I'm trying to break the ______ of staying up too late.","habit","Çok geç saatlere kadar ayakta kalma alışkanlığımı bırakmaya çalışıyorum.","Çok geç saatlere kadar ayakta kalma <u>alışkanlığımı</u> bırakmaya çalışıyorum."
"We are ______ looking for ways to improve our products.","constantly","Ürünlerimizi geliştirmek için sürekli yollar arıyoruz.","Ürünlerimizi geliştirmek için <u>sürekli</u> yollar arıyoruz."
"Servants ______ had close contact with their employers.","necessarily","Hizmetçilerin işverenleriyle zorunlu olarak yakın teması vardı.","Hizmetçilerin işverenleriyle <u>zorunlu olarak</u> yakın teması vardı."
"Now I can walk to work ______ going by car.","instead of","Artık arabayla gitmek yerine işe yürüyerek gidebilirim.","Artık arabayla gitmek <u>yerine</u> işe yürüyerek gidebilirim."
"There were ______s of goods between the two regions.","exchange","İki bölge arasında mal alışverişi vardı.","İki bölge arasında mal <u>alışverişi</u> vardı."
"There are close ______s among firms and their suppliers.","relation","Firmalar ve tedarikçileri arasında yakın ilişkiler vardır.","Firmalar ve tedarikçileri arasında yakın <u>ilişkiler</u> vardır."
"I overheard a ______ between two colleagues.","conversation","İki meslektaş arasındaki bir sohbete kulak misafiri oldum.","İki meslektaş arasındaki bir <u>sohbete</u> kulak misafiri oldum."
"There have been many changes in ______ years.","recent","Son yıllarda birçok değişiklik oldu.","<u>Son</u> yıllarda birçok değişiklik oldu."
"The company needs to focus on its biggest ______s.","client","Şirketin en büyük müşterilerine odaklanması gerekiyor.","Şirketin en büyük <u>müşterilerine</u> odaklanması gerekiyor."
"The organization ______s food and shelter for refugees.","provide","Kuruluş, mülteciler için yiyecek ve barınak sağlar.","Kuruluş, mülteciler için yiyecek ve barınak <u>sağlar</u>."
"The case has attracted the ______ of the public and media.","interest","Dava, halkın ve medyanın ilgisini çekti.","Dava, halkın ve medyanın <u>ilgisini</u> çekti."
<<<<<<< HEAD
"The banks lend money to commerce and ______.","industry","Bankalar ticarete ve sanayiye borç para verir.","Bankalar ticarete ve <u>sanayiye</u> borç para verir."
=======
"The banks lend money to commerce and ______.","industry","Bankalar ticarete ve sanayiye borç para verir.","Bankalar ticarete ve <u>sanayiye</u> borç para verir."
>>>>>>> 6bab33a0f929548b673c8567c32455a24369fe9b
