word,count,rank
you,96174944,1
the,82540326,2
to,62066120,3
and,36323292,4
it,35034417,5
of,32291496,6
that,28698127,7
in,26793423,8
is,26349979,9
me,24594819,10
what,22252351,11
this,20947058,12
for,19025806,13
on,18183547,14
my,18021562,15
your,17492388,16
have,17390444,17
we,17320886,18
do,16428652,19
no,16365350,20
don't,16057959,21
be,15874384,22
i'm,15744907,23
are,15151725,24
was,15097792,25
he,14931754,26
not,14880062,27
it's,14424990,28
know,14208802,29
with,13637081,30
all,13622798,31
but,12655405,32
here,11766349,33
just,11722067,34
get,11399951,35
so,11291422,36
like,10361592,37
go,10351216,38
right,10135352,39
if,9784550,40
out,9715028,41
him,9700847,42
up,9533680,43
can,9286764,44
oh,9251365,45
about,9224933,46
you're,9188852,47
now,9135688,48
well,8984591,49
come,8970338,50
at,8759538,51
there,8739036,52
one,8340334,53
they,8207325,54
that's,8022756,55
got,7818540,56
her,7680994,57
how,7485401,58
will,7447534,59
yeah,7297609,60
want,7104572,61
see,6944307,62
she,6883795,63
good,6835542,64
think,6833737,65
as,6489538,66
yes,6436077,67
why,6356300,68
did,6322672,69
his,6149347,70
from,6075828,71
i'll,6045307,72
going,5661506,73
when,5406187,74
time,5383002,75
who,5373142,76
back,5345202,77
look,5194751,78
an,5180031,79
take,5177026,80
them,5125519,81
he's,5102399,82
us,5039339,83
can't,4773192,84
been,4720612,85
tell,4668212,86
okay,4657469,87
would,4637054,88
were,4578255,89
had,4506803,90
or,4489887,91
then,4487528,92
man,4410919,93
some,4404759,94
hey,4376125,95
gonna,4366774,96
say,4340139,97
where,4264755,98
our,4217915,99
could,4047884,100
didn't,4036919,101
too,3920953,102
down,3910192,103
by,3901131,104
way,3813954,105
really,3807413,106
something,3737046,107
has,3689952,108
we're,3679231,109
i've,3664819,110
very,3617773,111
make,3616837,112
more,3587035,113
never,3578354,114
what's,3568855,115
little,3447081,116
over,3429782,117
let,3411016,118
mr,3368369,119
need,3326096,120
only,3272762,121
please,3264741,122
give,3221523,123
let's,3131438,124
off,3121741,125
mean,3098218,126
there's,3095583,127
any,3017099,128
two,2968406,129
sir,2940831,130
sorry,2917001,131
said,2903424,132
thank,2898797,133
love,2882194,134
am,2863793,135
people,2861881,136
sure,2857921,137
should,2801145,138
because,2798831,139
much,2717594,140
even,2603337,141
doing,2587816,142
thing,2541114,143
help,2523565,144
these,2461329,145
she's,2429300,146
anything,2419980,147
uh,2397981,148
nothing,2349101,149
first,2333817,150
find,2317705,151
must,2295835,152
into,2295025,153
still,2259158,154
wait,2223698,155
again,2215186,156
life,2207567,157
maybe,2202897,158
away,2191005,159
day,2185295,160
before,2173204,161
call,2161095,162
they're,2145880,163
night,2143096,164
work,2131123,165
talk,2108387,166
put,2106638,167
better,2094042,168
after,2077750,169
god,2074399,170
stop,2067377,171
home,2061950,172
won't,2055274,173
thought,2046384,174
than,2022700,175
those,2004031,176
other,2001692,177
their,1999570,178
great,1982868,179
long,1947122,180
last,1929718,181
we'll,1916671,182
keep,1909282,183
told,1905728,184
you've,1905605,185
old,1889258,186
i'd,1884009,187
around,1842828,188
leave,1803950,189
new,1799253,190
always,1797832,191
things,1782633,192
money,1778841,193
does,1742183,194
you'll,1741391,195
ever,1723035,196
doesn't,1682691,197
years,1681134,198
name,1675397,199
isn't,1670918,200
place,1654966,201
everything,1640722,202
big,1625674,203
believe,1593355,204
hello,1581061,205
nice,1561787,206
made,1551544,207
feel,1544604,208
father,1537568,209
guy,1510482,210
thanks,1510225,211
listen,1503343,212
three,1495430,213
may,1484136,214
fine,1481317,215
stay,1481308,216
lot,1463866,217
huh,1458326,218
enough,1441059,219
course,1439484,220
house,1436760,221
through,1432150,222
coming,1431444,223
wrong,1430693,224
understand,1429672,225
left,1425628,226
guys,1425113,227
done,1423260,228
kind,1423248,229
hear,1420663,230
girl,1411394,231
every,1396871,232
remember,1387919,233
bad,1385488,234
happened,1376172,235
another,1362528,236
might,1358360,237
kill,1349668,238
ask,1333510,239
which,1332592,240
wanted,1327731,241
came,1327119,242
mother,1314255,243
boy,1302669,244
own,1297043,245
being,1296091,246
mind,1291645,247
dead,1276370,248
try,1273394,249
show,1266112,250
hi,1263214,251
care,1262487,252
ok,1258727,253
son,1238201,254
world,1234308,255
today,1226305,256
else,1223779,257
morning,1219090,258
someone,1216214,259
talking,1215487,260
same,1210160,261
miss,1207902,262
next,1202815,263
car,1195856,264
looking,1194627,265
getting,1189923,266
wouldn't,1187059,267
yourself,1186497,268
found,1164035,269
we've,1142325,270
friend,1141861,271
move,1137363,272
room,1123153,273
hold,1121970,274
wasn't,1112163,275
dad,1104774,276
real,1104731,277
went,1104141,278
hell,1101935,279
wanna,1099136,280
many,1096769,281
saw,1082372,282
trying,1072144,283
best,1071408,284
seen,1067653,285
job,1066613,286
without,1058602,287
heard,1051667,288
matter,1050832,289
