word,sentence,word_mean
you,Thank you.,used to refer to the person or people being spoken or written to:
the,What's the matter?,used before nouns to refer to particular things or people that have already been talked about or are already known or that are in a situation where it is clear what is happening :
to,Listen to me.,used before a verb to show that it is in the infinitive
and,And?,"used to join two words, phrases , parts of sentences , or related statements together:"
it,What is it?,"used as the subject of a verb , or the object of a verb or preposition , to refer to a thing, animal , situation , or idea that has already been mentioned :"
of,Of course.,"used to show possession , belonging , or origin :"
that,What's that?,"used to refer to a person , object , idea , etc. that is separated from the speaker by space or time :"
in,Come in.,"inside a container , place , or area , or surrounded or closed off by something:"
is,What is it?,he/she/it form of be 
me,Excuse me.,"used, usually as the object of a verb or preposition , to refer to the person speaking or writing:"
what,What?,used to ask for information about people or things:
this,What's this?,"used for a person , object , idea , etc. to show which one is referred to:"
for,What for?,intended to be given to:
on,Come on.,"used to show that something is in a position above something else and touching it, or that something is moving into such a position :"
my,"Oh, my God.",of or belonging to me (= the speaker or writer ) :
your,What's your name?,belonging or relating to the person or group of people being spoken or written to:
have,Where have you been?,used with the past participle of other verbs to form the present perfect and past perfect :
we,Here we go.,used as the subject of a verb to refer to a group including the speaker and at least one other person :
do,What do you mean?,"used with another verb to form questions and negative sentences , including negative orders , and sometimes in affirmative sentences for reasons of style :"
no,No.,not any; not one; not a:
don't,I don't know.,short form of do not:
be,I'll be right back.,"used to say something about a person , thing, or state , to show a permanent or temporary quality , state , job , etc.:"
i'm,I'm sorry.,short form of I am:
are,What are you doing?,we/you/they form of be :
was,What was that?,past simple of be
he,Where is he?,"used as the subject of a verb to refer to a man, boy , or male animal that has already been mentioned :"
not,Why not?,"used to form a negative phrase after verbs like ""be"", ""can"", ""have"", ""will"", ""must"", etc., usually used in the short form ""n't"" in speech :"
it's,It's okay.,short form of it is:
know,I don't know.,to have information in your mind :
with,Come with me.,used to say that people or things are in a place together or are doing something together:
all,All right.,"every one (of), or the complete amount or number (of), or the whole (of):"
but,But why?,"used to introduce an added statement , usually something that is different from what you have said before:"
here,Here.,"in, at, or to this place :"
just,I just...,"now, very soon , or very recently :"
get,Get out!,"to obtain , buy , or earn something:"
so,So?,"very, extremely , or to such a degree :"
like,Like what?,to enjoy or approve of something or someone:
go,Let's go.,to travel or move to another place :
right,All right.,correct :
if,If you say so.,used to say that a particular thing can or will happen only after something else happens or becomes true :
out,Get out!,used to show movement away from the inside of a place or container :
him,Get him!,"used, usually as the object of a verb or preposition , to refer to a man, boy , or male animal that has just been mentioned or is just about to be mentioned :"
up,Shut up!,"towards a higher position ; towards a higher value , number , or level :"
can,Can I help you?,to be able to:
oh,Oh.,"used to express different emotions , such as surprise , disappointment , and pleasure , often as a reaction to something someone has said:"
about,What are you talking about?,"on the subject of, or connected with:"
you're,You're right.,short form of you are:
now,Now!,"at the present time , not in the past or future :"
well,Well?,"in a good way, to a high or satisfactory standard :"
come,Come on.,to move or travel towards the speaker or with the speaker :
at,Not at all.,used to show an exact position or particular place :
there,There.,"(to, at, or in) that place :"
one,One.,the number 1:
they,Where are they?,"used as the subject of a verb to refer to people , animals , or things already mentioned or, more generally , to a group of people not clearly described :"
that's,That's right.,short form of that is or that has :
got,I got it.,past simple and past participle of get
her,What's her name?,"used, usually as the object of a verb or preposition , to refer to a woman, girl , or female animal that has just been mentioned or is just about to be mentioned :"
how,How are you?,"in what way, or by what methods :"
will,I will.,"used to talk about what is going to happen in the future , especially things that you are certain about or things that are planned :"
yeah,Yeah.,yes:
want,What do you want?,"to wish for a particular thing or plan of action . ""Want"" is not used in polite requests :"
see,I see.,to be conscious of what is around you by using your eyes :
she,Where is she?,"used as the subject of a verb to refer to a woman, girl , or female animal that has already been mentioned :"
good,Good.,"very satisfactory , enjoyable , pleasant , or interesting :"
think,What do you think?,to believe something or have an opinion or idea :
as,As you wish.,used in comparisons to refer to the degree of something:
yes,Yes.,used to express willingness or agreement :
why,Why?,for what reason :
did,What did you say?,past simple of do
his,What's his name?,"belonging to or connected with a man, boy , or male animal that has just been mentioned or is known about:"
from,What do you want from me?,used to show the place where someone or something starts :
i'll,I'll be right back.,short form of I shall or I will:
going,What's going on?,how quickly you do something:
when,When?,at what time ; at the time at which:
time,What time is it?,"the part of existence that is measured in minutes , days , years , etc., or this process considered as a whole :"
who,Who?,"used especially in questions as the subject or object of a verb , when asking which person or people , or when asking what someone's name is:"
back,I'll be right back.,"in, into, or towards a previous place or condition , or an earlier time :"
look,Look.,to direct your eyes in order to see :
an,It was an accident.,"used instead of ""a"" when the following word begins with a vowel sound :"
take,Take it easy.,"to remove something, especially without permission :"
them,All of them.,"used, usually as the object of a verb or preposition , to refer to people , things, animals , situations , or ideas that have already been mentioned :"
he's,He's dead.,short form of he is:
us,Excuse us.,used as the object of a verb or a preposition to refer to a group that includes the speaker and at least one other person :
can't,I can't.,short form of cannot:
been,Where have you been?,past participle of be
tell,Tell me.,"to say something to someone, often giving them information or instructions :"
okay,Okay.,used to show that you agree with something or agree to do something:
would,Would you?,used to refer to future time from the point of view of the past:
were,Where were you?,past simple of be
had,I had no idea.,"past simple and past participle of have , also used with the past participle of other verbs to form the past perfect :"
or,Yes or no?,used to connect different possibilities :
then,Then what?,(at) that time (in the past or in the future ):
man,"Oh, man.",an adult male human being:
some,Want some?,an amount or number of something that is not stated or not known ; a part of something:
hey,Hey.,"used as a way of attracting someone's attention , sometimes in a way that is not very polite :"
gonna,What are you gonna do?,informal for going to:
say,What did you say?,"to pronounce words or sounds , to express a thought , opinion , or suggestion , or to state a fact or instruction :"
where,Where?,"to, at, or in what place :"
our,We're on our way.,of or belonging to us:
could,Could be.,"past simple of ""can"", used to talk about what someone or something was able or allowed to do:"
didn't,I didn't.,short form of did not:
too,Me too.,more than is needed or wanted ; more than is suitable or enough:
down,Sit down.,"in or towards a low or lower position , from a higher one:"
by,Stand by.,used to show the person or thing that does something:
way,No way.,"a route , direction , or path :"
really,Really?,in fact :
something,Is something wrong?,"an object , situation , quality , or action that is not exactly known or stated :"
has,What has happened?,he/she/it form of have
we're,We're here.,short form of we are:
i've,I've got it.,short form of I have:
very,Thank you very much.,(used to add emphasis to an adjective or adverb ) to a great degree or extremely :
make,What difference does it make?,"to produce something, often using a particular substance or material :"
more,No more.,a larger or extra number or amount :
never,Never mind.,not at any time or not on any occasion :
what's,What's going on?,short form of what is or what has :
little,A little.,small in size or amount :
over,Over.,"above or higher than something else , sometimes so that one thing covers the other; above:"
let,Let me go!,to allow something to happen or someone to do something by not doing anything to stop an action or by giving your permission :
mr,Mr.,"a title used before the family name or full name of a man who has no other title , or when talking to man who holds a particular official position :"
need,I need your help.,"to have to have something, or to want something very much:"
only,It's the only way.,"used to show that there is a single one or very few of something, or that there are no others :"
please,Please.,used to make a request more polite :
give,Give it to me.,"to offer something to someone, or to provide someone with something:"
let's,Let's go.,used to express a suggestion or request that includes you and the other person or people :
off,Get off!,"away from a place or position , especially the present place , position , or time :"
mean,What do you mean?,"to express or represent something such as an idea , thought , or fact :"
there's,There's more.,short form of there is or there has :
any,Any questions?,"some, or even the smallest amount or number of:"
two,Two.,the number 2:
sir,"Yes, sir.","used as a formal and polite way of speaking to a man, especially one who you are providing a service to or who is in a position of authority :"
sorry,I'm sorry.,"used to say that you wish you had not done what you have done, especially when you want to be polite to someone you have done something bad to:"
said,Who said that?,past simple and past participle of say
thank,Thank you.,to express to someone that you are pleased about or are grateful for something that they have done:
love,I love you.,"to like another adult very much and be romantically and sexually attracted to them, or to have strong feelings of liking a friend or person in your family :"
am,I am.,I form of be :
people,Who are these people?,"men, women, and children :"
sure,Sure.,certain ; without any doubt :
should,What should I do?,used to say or ask what is the correct or best thing to do:
because,Because...,for the reason that:
much,Thank you very much.,a large amount or to a large degree :
even,Don't even think about it.,"used to show that something is surprising , unusual , unexpected , or extreme :"
doing,What are you doing?,to be done or caused by someone:
thing,Sure thing.,used to refer in an approximate way to an object or to avoid naming it:
help,Help!,"to make it possible or easier for someone to do something, by doing part of the work yourself or by providing advice , money , support , etc.:"
these,What are these?,plural of this
she's,She's dead.,short form of she is:
anything,Anything else?,"used in questions and negatives to mean ""something"":"
uh,Uh-huh.,used in writing to represent the sound that people sometimes make when they are thinking what to say next:
nothing,Nothing.,not anything:
first,You first.,"(a person or thing) coming before all others in order , time , amount , quality , or importance :"
find,How did you find me?,"to discover , especially where a thing or person is, either unexpectedly or by searching , or to discover where to get or how to achieve something:"
must,I must go.,used to show that it is necessary or very important that something happens in the present or future :
into,What's gotten into you?,"to the inside or middle of a place , container , area , etc.:"
still,Hold still.,continuing to happen or continuing to be done:
wait,Wait.,"to allow time to go by, especially while staying in one place without doing very much, until someone comes, until something that you are expecting happens or until you can do something:"
again,Again.,one more time :
life,You saved my life.,"the period between birth and death , or the experience or state of being alive :"
maybe,Maybe.,used to show that something is possible or that something might be true :
away,Go away!,"somewhere else , or to or in a different place , position , or situation :"
day,Good day.,"a period of 24 hours , especially from twelve o'clock one night to twelve o'clock the next night :"
before,Have we met before?,at or during a time earlier than (the thing mentioned ):
call,I'll call you.,"to give someone or something a name , or to know or address someone by a particular name :"
they're,They're here.,short form of they are:
night,Good night.,the part of every 24-hour period when it is dark because there is very little light from the sun :
work,Good work.,"an activity , such as a job , that a person uses physical or mental effort to do, usually for money :"
talk,Talk to me.,to say words aloud ; to speak to someone:
put,Put it down.,"to move something or someone into the stated place , position , or direction :"
better,That's better.,"comparative of good : of a higher standard , or more suitable , pleasing , or effective than other things or people :"
after,After you.,"following in time , place , or order :"
god,"Oh, my God.","a spirit or being believed to control some part of the universe or life and often worshipped for doing so, or something that represents this spirit or being:"
stop,Stop!,to finish doing something that you were doing:
home,Go home.,"the house , apartment , etc. where you live , especially with your family :"
won't,I won't.,short form of will not:
thought,I thought so.,past simple and past participle of think
than,It's more than that.,used to join two parts of a comparison :
those,What are those?,plural of that
other,Some other time.,as well as the thing or person already mentioned :
their,These are their stories.,of or belonging to them:
great,Great.,"large in amount , size , or degree :"
long,How long?,continuing for a large amount of time :
last,Last night.,(the person or thing) after everyone or everything else :
we'll,We'll see.,short form of we will:
keep,Keep going.,to have or continue to have in your possession :
told,I told you.,past simple and past participle of tell
you've,You've got it.,short form of you have:
old,How old are you?,having lived or existed for many years :
i'd,I'd love to.,short form of I had:
around,Turn around.,"in a position or direction surrounding , or in a direction going along the edge of or from one part to another (of):"
leave,Leave me alone.,"to go away from someone or something, for a short time or permanently :"
new,Happy New Year.,recently created or having started to exist recently :
always,Always.,every time or all the time :
things,What things?,used to refer in an approximate way to an object or to avoid naming it:
money,Money.,"coins or notes (= special pieces of paper ) that are used to buy things, or an amount of these that a person has:"
does,What does that mean?,he/she/it form of do
you'll,You'll see.,short form of you will:
ever,Ever.,at any time :
doesn't,It doesn't matter.,short form of does not:
years,Two years.,a long time :
name,What's your name?,"the word or words that a person , thing, or place is known by:"
isn't,Isn't it?,short form of is not:
place,What is this place?,"an area , town , building , etc.:"
everything,Everything.,all things:
big,It's no big deal.,large in size or amount :
believe,I don't believe it.,"to think that something is true , correct , or real :"
hello,Hello.,used when meeting or greeting someone:
nice,Nice to meet you.,"pleasant , enjoyable , or satisfactory :"
made,I made a mistake.,past simple and past participle of make :
feel,How do you feel?,to experience something physical or emotional :
father,Father!,a male parent :
guy,Who is this guy?,a man:
thanks,Thanks.,→ thank you :
listen,Listen.,"to give attention to someone or something in order to hear him, her, or it:"
three,Three.,the number 3:
