word,sentence,match_type,word_mean
you,What are you talking about?,exact,used to refer to the person or people being spoken or written to:
the,What's the matter with you?,exact,used before nouns to refer to particular things or people that have already been talked about or are already known or that are in a situation where it is clear what is happening :
to,What are you going to do?,exact,used before a verb to show that it is in the infinitive
and,"Good evening, ladies and gentlemen.",exact,"used to join two words, phrases , parts of sentences , or related statements together:"
of,Let's get out of here.,exact,"used to show possession , belonging , or origin :"
in,I'll be back in a minute.,exact,"inside a container , place , or area , or surrounded or closed off by something:"
it,I'll take care of it.,exact,"used as the subject of a verb , or the object of a verb or preposition , to refer to a thing, animal , situation , or idea that has already been mentioned :"
that,How do you know that?,exact,"used to refer to a person , object , idea , etc. that is separated from the speaker by space or time :"
is,What the hell is that?,exact,he/she/it form of be 
me,What do you want me to do?,exact,"used, usually as the object of a verb or preposition , to refer to the person speaking or writing:"
for,What can I do for you?,exact,intended to be given to:
this,What the hell is this?,exact,"used for a person , object , idea , etc. to show which one is referred to:"
have,You have the right to remain silent.,exact,used with the past participle of other verbs to form the present perfect and past perfect :
my,Get out of my way!,exact,of or belonging to me (= the speaker or writer ) :
your,Are you out of your mind?,exact,belonging or relating to the person or group of people being spoken or written to:
be,You'll be all right.,exact,"used to say something about a person , thing, or state , to show a permanent or temporary quality , state , job , etc.:"
we,What are we gonna do?,exact,used as the subject of a verb to refer to a group including the speaker and at least one other person :
on,What the hell is going on?,exact,"used to show that something is in a position above something else and touching it, or that something is moving into such a position :"
what,What are you talking about?,exact,used to ask for information about people or things:
he,I don't know where he is.,exact,"used as the subject of a verb to refer to a man, boy , or male animal that has already been mentioned :"
do,What can I do for you?,exact,"used with another verb to form questions and negative sentences , including negative orders , and sometimes in affirmative sentences for reasons of style :"
with,What's the matter with you?,exact,used to say that people or things are in a place together or are doing something together:
was,What the hell was that?,exact,past simple of be
but,But what can we do?,exact,"used to introduce an added statement , usually something that is different from what you have said before:"
don't,I don't know what you're talking about.,exact,short form of do not:
are,What are you talking about?,exact,we/you/they form of be :
all,You'll be all right.,exact,"every one (of), or the complete amount or number (of), or the whole (of):"
know,I don't know what you're talking about.,exact,to have information in your mind :
not,You're not going anywhere.,exact,"used to form a negative phrase after verbs like ""be"", ""can"", ""have"", ""will"", ""must"", etc., usually used in the short form ""n't"" in speech :"
if,If you'll excuse me.,exact,used to say that a particular thing can or will happen only after something else happens or becomes true :
get,Let's get out of here.,exact,"to obtain , buy , or earn something:"
here,What are you doing here?,exact,"in, at, or to this place :"
like,How do you like that?,exact,to enjoy or approve of something or someone:
just,Just the two of us.,exact,"now, very soon , or very recently :"
out,Let's get out of here.,exact,used to show movement away from the inside of a place or container :
him,What's the matter with him?,exact,"used, usually as the object of a verb or preposition , to refer to a man, boy , or male animal that has just been mentioned or is just about to be mentioned :"
it's,It's good to see you.,exact,short form of it is:
i'm,You know what I'm talking about.,exact,short form of I am:
at,What are you looking at?,exact,used to show an exact position or particular place :
well,"Well, what do you think?",exact,"in a good way, to a high or satisfactory standard :"
can,What can I do for you?,exact,to be able to:
so,What took you so long?,exact,"very, extremely , or to such a degree :"
now,What do we do now?,exact,"at the present time , not in the past or future :"
about,What are you talking about?,exact,"on the subject of, or connected with:"
up,What are you up to?,exact,"towards a higher position ; towards a higher value , number , or level :"
no,"Oh, no, no, no, no.",exact,not any; not one; not a:
you're,I don't know what you're talking about.,exact,short form of you are:
will,Everything will be all right.,exact,"used to talk about what is going to happen in the future , especially things that you are certain about or things that are planned :"
they,What are they doing here?,exact,"used as the subject of a verb to refer to people , animals , or things already mentioned or, more generally , to a group of people not clearly described :"
one,"One, two, three, four, five.",exact,the number 1:
there,What are you doing there?,exact,"(to, at, or in) that place :"
as,It's as simple as that.,exact,used in comparisons to refer to the degree of something:
go,Where do you want to go?,exact,to travel or move to another place :
got,What have you got there?,exact,past simple and past participle of get
want,What do you want me to do?,exact,"to wish for a particular thing or plan of action . ""Want"" is not used in polite requests :"
her,What's the matter with her?,exact,"used, usually as the object of a verb or preposition , to refer to a woman, girl , or female animal that has just been mentioned or is just about to be mentioned :"
his,Did you see his face?,exact,"belonging to or connected with a man, boy , or male animal that has just been mentioned or is known about:"
from,What do you want from me?,exact,used to show the place where someone or something starts :
think,What do you think you're doing?,exact,to believe something or have an opinion or idea :
see,I'll see what I can do.,exact,to be conscious of what is around you by using your eyes :
how,How do you know that?,exact,"in what way, or by what methods :"
she,What does she look like?,exact,"used as the subject of a verb to refer to a woman, girl , or female animal that has already been mentioned :"
when,When did you get back?,exact,at what time ; at the time at which:
right,You'll be all right.,exact,correct :
come,"Come on, come on, come on.",exact,to move or travel towards the speaker or with the speaker :
i'll,I'll take care of it.,exact,short form of I shall or I will:
time,You're wasting your time.,exact,"the part of existence that is measured in minutes , days , years , etc., or this process considered as a whole :"
going,What are you going to do?,exact,how quickly you do something:
did,Why did you do that?,exact,past simple of do
us,Just the two of us.,exact,used as the object of a verb or a preposition to refer to a group that includes the speaker and at least one other person :
an,Keep an eye on him.,exact,"used instead of ""a"" when the following word begins with a vowel sound :"
been,How long have you been here?,exact,past participle of be
why,Why do you say that?,exact,for what reason :
