word,level,sentence,word_mean
able,a2,I might be able to help.,"to have the necessary physical strength , mental power , skill , time , money , or opportunity to do something:"
absolute,b2,Absolute nonsense.,very great or to the largest degree possible :
acceptable,b2,Acceptable.,satisfactory and able to be agreed to or approved of:
accurate,b2,Is that accurate?,"correct , exact , and without any mistakes :"
active,a2,Active.,busy with a particular activity :
actual,b2,"Hotel One Actual, this is Cowboy.",existing in fact :
additional,b2,Another additional?,extra :
advance,b2,Advance!,"to go or move something forward , or to develop or improve something:"
advanced,b1,My scouts tell me that he has not advanced.,modern and well developed :
afraid,a1,Don't be afraid.,"feeling fear , or feeling worry about the possible results of a particular situation :"
aged,b1,You haven't aged a day.,of the age of:
aggressive,b2,Aggressive.,showing anger and a willingness to attack other people :
alcoholic,b1,I'm an alcoholic.,containing alcohol :
alive,a2,He's alive.,"living , not dead :"
alone,a2,Leave me alone.,without other people :
alternative,b1,What's the alternative?,An alternative plan or method is one that you can use if you do not want to use another one:
amazed,b1,I'm amazed.,extremely surprised :
amazing,a1,Amazing.,extremely surprising :
ambitious,b1,Ambitious.,"having a strong wish to be successful , powerful , or rich :"
ancient,a2,Ancient history.,"of or from a long time ago, having lasted for a very long time :"
angry,a1,Don't be angry.,"having a strong feeling against someone who has behaved badly , making you want to shout at them or hurt them:"
annoyed,b1,Annoyed?,angry :
annoying,b1,It's annoying.,making you feel slightly angry :
annual,b2,Appropriations Committee voted an annual payment of 500 just to shut him up.,happening once every year :
anxious,b2,Anxious.,worried and nervous :
apparent,b2,The cause of death is an apparent suicide.,able to be seen or understood :
appropriate,b2,How appropriate.,suitable or right for a particular situation or occasion :
armed,b2,Armed police!,using or carrying weapons :
artificial,b2,It's artificial?,"made by people , often as a copy of something natural :"
artistic,b2,Artistic.,relating to art :
ashamed,b2,Aren't you ashamed?,feeling guilty or embarrassed about something you have done or about a quality in your character :
asleep,a2,He's asleep.,sleeping or not awake :
assistant,a2,My assistant.,someone who helps someone else to do a job :
associated,b2,Right after she asked me if I associated with any criminals.,connected :
attractive,a2,Very attractive.,very pleasing in appearance or sound :
available,a2,I'm available.,able to be bought or used:
average,a2,Average.,the result you get by adding two or more amounts together and dividing the total by the number of amounts :
aware,b1,I'm aware of that.,"knowing that something exists , or having knowledge or experience of a particular thing:"
awful,a2,It's awful.,extremely bad or unpleasant :
bad,a1,Not bad.,unpleasant and causing difficulties :
based,a2,Based on what?,"used to form adjectives showing the main place or area in which something or someone works , lives , or does business :"
basic,b1,Zak failed basic flight.,"simple and not complicated , so able to provide the base or starting point from which something can develop :"
beautiful,a1,Beautiful.,very attractive :
bent,b2,All his thought is bent on it.,past simple and past participle of bend
best,a1,I'll do my best.,"of the highest quality , or being the most suitable , pleasing , or effective type of thing or person :"
better,a1,That's better.,"comparative of good : of a higher standard , or more suitable , pleasing , or effective than other things or people :"
big,a1,It's no big deal.,large in size or amount :
bitter,b2,Bitter?,Someone who is bitter is angry and unhappy because they cannot forget bad things that happened in the past:
blank,a2,Blank.,"empty or clear , or containing no information or mark :"
blind,b2,Are you blind?,unable to see :
blonde,a1,Blonde.,pale yellow or gold in colour :
blue,a1,Blue.,"of the colour of the sky without clouds on a bright day , or a darker or lighter type of this:"
bored,a1,I'm bored.,"feeling unhappy because something is not interesting or because you have nothing to do, or showing that you feel like this:"
boring,a1,Boring.,not interesting or exciting :
bottom,a2,Bottom line.,the lowest part of something:
brave,b1,Be brave.,showing no fear of dangerous or difficult things:
brief,b2,I'll be brief.,lasting only a short time or containing few words:
bright,a2,Look on the bright side.,"full of light , shining :"
brilliant,a2,Brilliant.,extremely intelligent or skilled :
broad,b2,In broad daylight?,very wide :
broken,a2,It's broken.,past participle of break
brown,a1,Brown.,the colour of chocolate or soil :
busy,a1,I'm busy.,"If you are busy, you are working hard, or giving your attention to a particular thing:"
calm,b1,Calm down.,"peaceful , quiet , and without worry :"
capable,b2,He's capable of anything.,"able to do things effectively and skilfully , and to achieve results :"
careful,a2,Be careful.,"giving a lot of attention to what you are doing so that you do not have an accident , make a mistake , or damage something:"
careless,b1,I was careless.,not taking or showing enough care and attention :
central,b1,Central.,"in, at, from, or near the centre or most important part of something:"
certain,a2,Are you certain?,"having no doubt or knowing exactly that something is true , or known to be true , correct , exact , or effective :"
cheap,a1,Cheap.,costing little money or less than is usual or expected :
cheerful,b1,Be cheerful.,happy and positive :
chief,b2,"Chief! | Let's go, Chiefs!",most important or main :
civil,b2,Very civil.,"not military or religious , but relating to the ordinary people of a country :"
