word,level,sentence,word_mean
about,a1,What are you talking about?,"on the subject of, or connected with:"
abroad,a2,Abroad?,in or to a foreign country or countries :
absolutely,b1,Absolutely.,completely :
across,a1,Across the street.,"from one side to the other of something with clear limits , such as an area of land , a road , or a river :"
actually,a2,Actually...,in fact or really:
after,a2,After you.,"following in time , place , or order :"
afterwards,b2,Afterwards.,after the time mentioned :
again,a1,Again.,one more time :
ago,a1,That was a long time ago.,back in time from the present :
ahead,b1,Go ahead.,in front :
all,a2,All right.,"every one (of), or the complete amount or number (of), or the whole (of):"
almost,a2,Almost.,nearly :
already,a2,Already?,before the present time :
also,a1,And also...,in addition :
always,a1,Always.,every time or all the time :
any,a2,Any questions?,"some, or even the smallest amount or number of:"
anyway,a2,Anyway... | Anyways...,"whatever else is happening , without considering other things: | informal for anyway"
apart,b1,It's falling apart.,separated by a distance or by time :
apparently,b2,Apparently.,used to say you have read or been told something although you are not certain it is true :
approximately,b1,Approximately.,close to a particular number or time although not exactly that number or time :
around,a1,Turn around.,"in a position or direction surrounding , or in a direction going along the edge of or from one part to another (of):"
away,a1,Go away!,"somewhere else , or to or in a different place , position , or situation :"
backwards,b1,Backwards.,towards the direction that is opposite to the one in which you are facing or opposite to the usual direction :
badly,a2,Badly.,in a severe and harmful way:
basically,b2,Basically.,used when referring to the main or most important characteristic or feature of something:
before,a2,Have we met before?,at or during a time earlier than (the thing mentioned ):
behind,a1,Behind you!,at the back (of):
below,a1,Look out below!,"in a lower position (than), under:"
between,a2,This is between you and me.,"in or into the space that separates two places , people , or objects :"
by,b1,Stand by.,used to show the person or thing that does something:
carefully,a2,Listen carefully.,with great attention :
certainly,a2,Certainly.,used to reply completely or to emphasize something and show that there is no doubt about it:
clearly,a2,Clearly.,"in a way that is easy to see , hear , read , or understand"
closely,b2,Look closely.,in a way that is directly connected or has a strong relationship :
completely,a2,Completely.,in every way or as much as possible :
constantly,b2,Constantly.,all the time or often:
correctly,a2,Did I hear you correctly?,in a way that is in agreement with the true facts or with what is generally accepted :
currently,b1,Currently.,at the present time :
daily,b1,Give us this day our daily bread.,happening on or relating to every day :
deeply,b2,Breathe deeply.,extremely or strongly :
definitely,a2,Definitely.,without any doubt :
deliberately,b2,Deliberately?,intentionally :
differently,a2,"I think that if we could talk to Dent today, he may feel differently.",in a way that is not the same:
directly,b1,Not directly.,without anything else being involved or in between:
down,a1,Sit down.,"in or towards a low or lower position , from a higher one:"
easily,a2,Easily.,with no difficulty or effort :
either,a2,Me either.,"used in negative sentences instead of ""also"" or ""too"":"
else,a1,What else?,"used after words beginning with any- , every- , no- , and some- , or after how , what , where , who , why , but not which , to mean 'other', 'another', 'different', ' extra ':"
