word,level,sentence,word_mean
ability,a2,"Ability? | Yes, it's Superman, strange visitor from another planet who came to Earth with powers and abilities far beyond those of mortal men.",the physical or mental power or skill needed to do something:
academic,b2,The family name doesn't get a lot of respect in the academic community.,"relating to schools , colleges , and universities , or connected with studying and thinking , not with practical skills :"
access,b1,Captioned by Media Access Group at WGBH access.wgbh.org,the method or possibility of getting near to a place or person :
accident,a2,It was an accident. | Accidents happen.,something bad that happens that is not expected or intended and that often damages something or injures someone:
account,b1,How do you account for that? | Corporate accounts payable.,an arrangement with a bank to keep your money there and to allow you to take it out when you need to: | an official record of all the money a person or company has spent and received :
achievement,b1,It was an immense achievement.,something very good and difficult that you have succeeded in doing:
act,b1,Act natural. | I want no acts of vengeance.,to behave in the stated way:
action,a1,Actions speak louder than words. | Action!,"the process of doing something, especially when dealing with a problem or difficulty :"
activity,a1,Enemy activity in his old sector dropped off to nothing. | Nocturnal activities.,the situation in which a lot of things are happening or people are moving around:
actor,a1,Actors. | I'm an actor.,"someone who pretends to be someone else while performing in a film , play , or television or radio programme :"
actress,a1,I'm an actress.,"a woman who pretends to be someone else while performing in a film , play , or television programme :"
ad,b1,There are the want ads. | What ad?,abbreviation for American Depositary Share : a share in a foreign company bought and sold in US dollars in US financial markets . Each ADS is equal to one or more real shares in the company : | informal for an advertisement :
addition,b1,In addition...,the process of adding numbers or amounts together:
address,a1,What's the address?,"the number of the house , name of the road , and name of the town where a person lives or works , and where letters can be sent :"
administration,b2,Administration.,the arrangements and tasks needed to control the operation of a plan or organization :
adult,a1,We're adults. | I'm an adult.,a person or animal that has grown to full size and strength :
advantage,a2,Take advantage of it.,a condition giving a greater chance of success :
adventure,a2,Adventure.,"an unusual , exciting , and possibly dangerous activity , such as a trip or experience , or the excitement produced by such an activity :"
advertising,a2,Advertising.,the business of trying to persuade people to buy products or services :
advice,a1,Thanks for the advice.,an opinion that someone offers you about what you should do or how you should act in a particular situation :
affair,b2,Internal Affairs. | Are you having an affair?,a situation or subject that is being dealt with or considered :
afternoon,a1,Good afternoon.,the period that starts at about twelve o'clock or after the meal in the middle of the day and ends at about six o'clock or when the sun goes down:
age,a1,Age?,the period of time someone has been alive or something has existed :
agency,b2,Your graduation today solidifies your acceptance into one of the finest law enforcement agencies in our nation. | Central Intelligence Agency.,a business that represents one group of people when dealing with another group :
agenda,b2,You've been pushing that agenda ever since we got here.,a list of matters to be discussed at a meeting :
agent,b1,I'm a federal agent. | Federal agents!,a person who acts for or represents another:
agreement,b1,We had an agreement.,"the situation in which people have the same opinion , or in which they approve of or accept something:"
aid,b2,You must call for aid. | AIDS?,a piece of equipment that helps you to do something: | abbreviation for Acquired Immune Deficiency Syndrome : a serious disease caused by a virus that destroys the body's natural protection from infection :
