word,class,level,sentence,word_mean
a,indefinite article,a1,As you wish.,used in comparisons to refer to the degree of something:
above,preposition,a1,All of the above.,in or to a higher position than something else :
against,preposition,a2,Anything you say can and will be used against you in a court of law.,disagreeing with a plan or activity :
along,preposition,a2,Come along.,"from one part of a road , river , etc. to another:"
among,preposition,a2,Among other things.,in the middle of or surrounded by other things:
at,preposition,a1,Not at all.,used to show an exact position or particular place :
beyond,preposition,b2,To infinity and beyond!,further away in the distance (than something):
but,preposition,b2,But why?,"used to introduce an added statement , usually something that is different from what you have said before:"
despite,preposition,b1,"Despite a few hitches, the boys came through in fine style.",without taking any notice of or being influenced by; not prevented by:
during,preposition,a1,We slaughtered them during the night.,from the beginning to the end of a particular period :
for,preposition,a1,What for?,intended to be given to:
from,preposition,a1,What do you want from me?,used to show the place where someone or something starts :
in,preposition,a1,"Gentlemen, with this chip exchange, we enter the final phase of the game which means no more buy-ins. | Come in.","written abbreviation for inches | inside a container , place , or area , or surrounded or closed off by something:"
including,preposition,a2,Including you.,used for saying that a person or thing is part of a particular group or amount :
into,preposition,a1,What's gotten into you?,"to the inside or middle of a place , container , area , etc.:"
of,preposition,a1,Of course.,"used to show possession , belonging , or origin :"
onto,preposition,a2,I'm onto you.,used to show movement into or on a particular place :
opposite,preposition,a1,Just the opposite.,completely different:
past,preposition,a1,It's in the past.,in or to a position that is further than a particular point :
per,preposition,a2,It only cost us a pack of smokes per man.,"used when expressing rates , prices , or measurements to mean ""for each"":"
than,preposition,a1,It's more than that.,used to join two parts of a comparison :
through,preposition,a1,Coming through.,from one end or side of something to the other:
till,preposition,b1,Till death do us part.,up to (the time that); until:
towards,preposition,a2,Come towards me. | Move it right in toward me.,"in the direction of, or closer to someone or something:"
unlike,preposition,b1,Unlike you.,different from:
upon,preposition,b1,Once upon a time...,on:
via,preposition,b2,Via!,going through or stopping at a place on the way to another place :
with,preposition,a1,Come with me.,used to say that people or things are in a place together or are doing something together:
within,preposition,b1,Within reason.,inside or not further than an area or period of time :
without,preposition,a1,I can't live without you.,"not having or doing something, or lacking something:"
ah,exclamation,a2,Ah!,"used to express understanding , pleasure , pain , surprise , or the fact that you have noticed something:"
attention,exclamation,a2,Attention!,"notice , thought , or interest :"
bye,exclamation,a1,Bye.,goodbye :
goodbye,exclamation,a1,Goodbye.,used when someone leaves :
hello,exclamation,a1,Hello.,used when meeting or greeting someone:
hey,exclamation,a1,Hey.,"used as a way of attracting someone's attention , sometimes in a way that is not very polite :"
hi,exclamation,a1,What's his name? | Hi.,"belonging to or connected with a man, boy , or male animal that has just been mentioned or is known about: | used as an informal greeting , usually to people who you know :"
oh,exclamation,a1,Oh.,"used to express different emotions , such as surprise , disappointment , and pleasure , often as a reaction to something someone has said:"
well,exclamation,a1,Well? | Wells.,"in a good way, to a high or satisfactory standard :"
wow,exclamation,a2,Wow.,used to show surprise and sometimes pleasure :
yes,exclamation,a1,Yes.,used to express willingness or agreement :
yeah,exclamation,a1,Yeah.,yes:
although,conjunction,a2,Although...,despite the fact that:
and,conjunction,a1,And?,"used to join two words, phrases , parts of sentences , or related statements together:"
because,conjunction,a1,Because...,for the reason that:
except,conjunction,b1,Except...,not including ; but not:
if,conjunction,a1,If you say so.,used to say that a particular thing can or will happen only after something else happens or becomes true :
nor,conjunction,b1,Nor do I.,"used before the second or last of a set of negative possibilities , usually after ""neither"":"
or,conjunction,a1,Yes or no?,used to connect different possibilities :
unless,conjunction,b1,Unless...,except if:
until,conjunction,a1,Until now.,up to (the time that):
when,conjunction,a1,When?,at what time ; at the time at which:
whenever,conjunction,b1,Whenever you're ready.,every or any time :
whereas,conjunction,b2,"Whereas me, I'm pushing 3'7.",compared with the fact that; but:
wherever,conjunction,b2,"Come out, come out, wherever you are.",to or in any or every place :
whether,conjunction,b1,Whether you like it or not.,"(used especially in reporting questions and expressing doubts ) if, or not:"
while,conjunction,a2,It's been a while.,"during the time that, or at the same time as:"
another,determiner,a1,Another one?,one more person or thing or an extra amount :
both,determiner,a1,Both.,(referring to) two people or things together:
dozen,determiner,b2,Dozens. | A dozen?,twelve:
each,determiner,a1,You two know each other?,"every thing, person , etc. in a group of two or more, considered separately :"
every,determiner,a1,Every day.,used when referring to all the members of a group of three or more:
her,determiner,a1,It's hers. | What's her name?,"the one(s) belonging to or connected with a woman, girl , or female animal that has been mentioned or is known about: | used, usually as the object of a verb or preposition , to refer to a woman, girl , or female animal that has just been mentioned or is just about to be mentioned :"
