word,class,level,sentence,word_mean
a,indefinite article,a1,As you wish.,used in comparisons to refer to the degree of something:
abandon,verb,b2,Abandon ship!,"to leave a place , thing, or person , usually for ever :"
ability,noun,a2,"Ability? | Yes, it's Superman, strange visitor from another planet who came to Earth with powers and abilities far beyond those of mortal men.",the physical or mental power or skill needed to do something:
able,adjective,a2,I might be able to help.,"to have the necessary physical strength , mental power , skill , time , money , or opportunity to do something:"
about,adverb,a1,What are you talking about?,"on the subject of, or connected with:"
above,preposition,a1,All of the above.,in or to a higher position than something else :
abroad,adverb,a2,Abroad?,in or to a foreign country or countries :
absolute,adjective,b2,Absolute nonsense.,very great or to the largest degree possible :
absolutely,adverb,b1,Absolutely.,completely :
academic,noun,b2,The family name doesn't get a lot of respect in the academic community.,"relating to schools , colleges , and universities , or connected with studying and thinking , not with practical skills :"
accept,verb,a2,I accept.,to agree to take something:
acceptable,adjective,b2,Acceptable.,satisfactory and able to be agreed to or approved of:
access,noun,b1,Captioned by Media Access Group at WGBH access.wgbh.org,the method or possibility of getting near to a place or person :
accident,noun,a2,It was an accident. | Accidents happen.,something bad that happens that is not expected or intended and that often damages something or injures someone:
accompany,verb,b2,I'll accompany you.,to go with someone or to be provided or exist at the same time as something:
account,noun,b1,How do you account for that? | Corporate accounts payable.,an arrangement with a bank to keep your money there and to allow you to take it out when you need to: | an official record of all the money a person or company has spent and received :
accurate,adjective,b2,Is that accurate?,"correct , exact , and without any mistakes :"
accuse,verb,b2,What do you call it when the assassins accuse the assassin?,"to say that someone has done something morally wrong , illegal , or unkind :"
achieve,verb,a2,You can achieve,"to succeed in finishing something or reaching an aim , especially after a lot of work or effort :"
achievement,noun,b1,It was an immense achievement.,something very good and difficult that you have succeeded in doing:
acknowledge,verb,b2,Acknowledge.,"to accept , admit , or recognize something, or the truth or existence of something:"
across,adverb,a1,Across the street.,"from one side to the other of something with clear limits , such as an area of land , a road , or a river :"
act,noun,b1,Act natural. | I want no acts of vengeance.,to behave in the stated way:
action,noun,a1,Actions speak louder than words. | Action!,"the process of doing something, especially when dealing with a problem or difficulty :"
active,adjective,a2,Active.,busy with a particular activity :
activity,noun,a1,Enemy activity in his old sector dropped off to nothing. | Nocturnal activities.,the situation in which a lot of things are happening or people are moving around:
actor,noun,a1,Actors. | I'm an actor.,"someone who pretends to be someone else while performing in a film , play , or television or radio programme :"
actress,noun,a1,I'm an actress.,"a woman who pretends to be someone else while performing in a film , play , or television programme :"
actual,adjective,b2,"Hotel One Actual, this is Cowboy.",existing in fact :
actually,adverb,a2,Actually...,in fact or really:
ad,noun,b1,There are the want ads. | What ad?,abbreviation for American Depositary Share : a share in a foreign company bought and sold in US dollars in US financial markets . Each ADS is equal to one or more real shares in the company : | informal for an advertisement :
add,verb,a1,It doesn't add up. | It all adds up.,to put two or more numbers or amounts together to get a total :
addition,noun,b1,In addition...,the process of adding numbers or amounts together:
additional,adjective,b2,Another additional?,extra :
address,noun,a1,What's the address?,"the number of the house , name of the road , and name of the town where a person lives or works , and where letters can be sent :"
administration,noun,b2,Administration.,the arrangements and tasks needed to control the operation of a plan or organization :
admire,verb,b1,I admire you.,to find someone or something attractive and pleasant to look at:
admit,verb,b1,Admit it.,"to agree that something is true , especially unwillingly :"
adopt,verb,b2,Adopt?,to legally take another person's child into your own family and take care of him or her as your own child :
adult,noun,a1,We're adults. | I'm an adult.,a person or animal that has grown to full size and strength :
advance,adjective,b2,Advance!,"to go or move something forward , or to develop or improve something:"
advanced,adjective,b1,My scouts tell me that he has not advanced.,modern and well developed :
advantage,noun,a2,Take advantage of it.,a condition giving a greater chance of success :
adventure,noun,a2,Adventure.,"an unusual , exciting , and possibly dangerous activity , such as a trip or experience , or the excitement produced by such an activity :"
advertising,noun,a2,Advertising.,the business of trying to persuade people to buy products or services :
advice,noun,a1,Thanks for the advice.,an opinion that someone offers you about what you should do or how you should act in a particular situation :
advise,verb,b1,Please advise.,to give someone advice :
affair,noun,b2,Internal Affairs. | Are you having an affair?,a situation or subject that is being dealt with or considered :
affect,verb,a2,It affects us all. | It won't affect the test.,"to have an influence on someone or something, or to cause a change in someone or something:"
afford,verb,b1,I can't afford it.,to be able to buy or do something because you have enough money or time :
afraid,adjective,a1,Don't be afraid.,"feeling fear , or feeling worry about the possible results of a particular situation :"
after,adverb,a2,After you.,"following in time , place , or order :"
afternoon,noun,a1,Good afternoon.,the period that starts at about twelve o'clock or after the meal in the middle of the day and ends at about six o'clock or when the sun goes down:
afterwards,adverb,b2,Afterwards.,after the time mentioned :
again,adverb,a1,Again.,one more time :
against,preposition,a2,Anything you say can and will be used against you in a court of law.,disagreeing with a plan or activity :
age,noun,a1,Age?,the period of time someone has been alive or something has existed :
aged,adjective,b1,You haven't aged a day.,of the age of:
agency,noun,b2,Your graduation today solidifies your acceptance into one of the finest law enforcement agencies in our nation. | Central Intelligence Agency.,a business that represents one group of people when dealing with another group :
agenda,noun,b2,You've been pushing that agenda ever since we got here.,a list of matters to be discussed at a meeting :
agent,noun,b1,I'm a federal agent. | Federal agents!,a person who acts for or represents another:
aggressive,adjective,b2,Aggressive.,showing anger and a willingness to attack other people :
ago,adverb,a1,That was a long time ago.,back in time from the present :
agree,verb,a1,I agree.,to have the same opinion :
agreement,noun,b1,We had an agreement.,"the situation in which people have the same opinion , or in which they approve of or accept something:"
ah,exclamation,a2,Ah!,"used to express understanding , pleasure , pain , surprise , or the fact that you have noticed something:"
ahead,adverb,b1,Go ahead.,in front :
aid,noun,b2,You must call for aid. | AIDS?,a piece of equipment that helps you to do something: | abbreviation for Acquired Immune Deficiency Syndrome : a serious disease caused by a virus that destroys the body's natural protection from infection :
aim,noun,b1,Aim!,a result that your plans or actions are intended to achieve :
air,noun,a1,Hands in the air!,the mixture of gases that surrounds the earth and that we breathe :
aircraft,noun,b2,"Unidentified aircraft, we will escort you to US SOCCENT airbase.","any vehicle , with or without an engine , that can fly , such as a plane or helicopter :"
airline,noun,a2,What airline?,a business that operates regular services for carrying passengers and/or goods by aircraft :
airport,noun,a1,Airport.,"a place where aircraft regularly take off and land , with buildings for passengers to wait in:"
alarm,noun,b1,False alarm.,"a warning of danger , usually a loud noise or flashing light :"
album,noun,b1,Best album ever made.,"a collection of several pieces of music , made available as a single item on a CD, the internet , etc.:"
alcohol,noun,b1,Alcohol.,drinks such as beer and wine that contain a substance that can make people drunk :
alcoholic,adjective,b1,I'm an alcoholic.,containing alcohol :
alive,adjective,a2,He's alive.,"living , not dead :"
all,adverb,a2,All right.,"every one (of), or the complete amount or number (of), or the whole (of):"
allow,verb,a2,"The IRS allows a one-time-only gift to your spouse for up to 60,000. | Allow me.","to give permission for someone to do something, or to not prevent something from happening :"
almost,adverb,a2,Almost.,nearly :
alone,adjective,a2,Leave me alone.,without other people :
along,preposition,a2,Come along.,"from one part of a road , river , etc. to another:"
already,adverb,a2,Already?,before the present time :
also,adverb,a1,And also...,in addition :
alter,verb,b2,Pray I don't alter it any further.,"to change something, usually slightly , or to cause the characteristics of something to change :"
alternative,adjective,b1,What's the alternative?,An alternative plan or method is one that you can use if you do not want to use another one:
although,conjunction,a2,Although...,despite the fact that:
always,adverb,a1,Always.,every time or all the time :
amazed,adjective,b1,I'm amazed.,extremely surprised :
amazing,adjective,a1,Amazing.,extremely surprising :
ambition,noun,b1,Ambition.,a strong wish to achieve something:
ambitious,adjective,b1,Ambitious.,"having a strong wish to be successful , powerful , or rich :"
among,preposition,a2,Among other things.,in the middle of or surrounded by other things:
amount,verb,b2,"A relatively small amount, 68 million. | It amounts to the same thing.","a collection or mass , especially of something that cannot be counted :"
analysis,noun,b1,Analysis.,"the act of studying or examining something in detail , in order to discover or understand more about it, or your opinion and judgment after doing this:"
ancient,adjective,a2,Ancient history.,"of or from a long time ago, having lasted for a very long time :"
and,conjunction,a1,And?,"used to join two words, phrases , parts of sentences , or related statements together:"
anger,noun,b2,Anger.,a strong feeling that makes you want to hurt someone or be unpleasant because of something unfair or unkind that has happened :
angle,noun,b2,What's your angle?,"the space between two lines or surfaces at the point at which they touch each other, measured in degrees :"
angry,adjective,a1,Don't be angry.,"having a strong feeling against someone who has behaved badly , making you want to shout at them or hurt them:"
animal,noun,a1,Animals. | Animal!,"something that lives and moves but is not a human , bird , fish , or insect :"
ankle,noun,a2,My ankle.,"the joint (= place where two bones are connected ) between the foot and the leg , or the thin part of the leg just above the foot :"
anniversary,noun,b2,Happy anniversary.,the day on which an important event happened in a previous year :
announce,verb,b1,I regret to announce this is the end!,to make something known or tell people about something officially :
announcement,noun,b1,I have an announcement to make.,"something that someone says officially , giving information about something:"
annoyed,adjective,b1,Annoyed?,angry :
annoying,adjective,b1,It's annoying.,making you feel slightly angry :
annual,adjective,b2,Appropriations Committee voted an annual payment of 500 just to shut him up.,happening once every year :
another,determiner,a1,Another one?,one more person or thing or an extra amount :
answer,noun,a1,Answer me! | I want answers.,"a reaction to a question , letter , phone call , etc.:"
anxious,adjective,b2,Anxious.,worried and nervous :
any,adverb,a2,Any questions?,"some, or even the smallest amount or number of:"
anybody,pronoun,a2,Anybody home?,→ anyone
anyone,pronoun,a1,Anyone?,"used in questions and negatives to mean ""a person or people "":"
anything,pronoun,a1,Anything else?,"used in questions and negatives to mean ""something"":"
anyway,adverb,a2,Anyway... | Anyways...,"whatever else is happening , without considering other things: | informal for anyway"
anywhere,pronoun,a2,I'm not going anywhere.,"in, to, or at any place :"
apart,adverb,b1,It's falling apart.,separated by a distance or by time :
apartment,noun,a1,"My apartment. | Melvin White, 1502 Randolph Apartments.","a set of rooms for living in, especially on one floor of a building : | a set of large rooms with expensive furniture and decoration in, for example , a public building or castle :"
apologize,verb,b1,I apologize.,to tell someone that you are sorry for having done something that has caused problems or unhappiness for them:
apparent,adjective,b2,The cause of death is an apparent suicide.,able to be seen or understood :
apparently,adverb,b2,Apparently.,used to say you have read or been told something although you are not certain it is true :
appeal,noun,b2,Does that appeal to you?,"a request to the public for money , information , or help :"
appear,verb,a2,It appears so. | It would appear so.,to start to be seen or to be present :
appearance,noun,a2,"And in fact, they are so alike in voice and appearance that they're often mistaken for Dwarf men.",an occasion when someone appears in public :
apple,noun,a1,Apple.,"a round fruit with firm , white flesh and a green , red , or yellow skin :"
application,noun,b1,Application?,"an official request for something, usually in writing:"
apply,verb,a2,The fundamental things apply,"to request something, usually officially , especially in writing or by sending in a form :"
appointment,noun,b1,I have some appointments at the office. | I have an appointment.,a formal arrangement to meet or visit someone at a particular time and place :
appreciate,verb,b1,I appreciate it.,to recognize how good someone or something is and to value them or it:
approach,noun,b2,Approach.,"to come near or nearer to something or someone in space , time , quality , or amount :"
appropriate,adjective,b2,How appropriate.,suitable or right for a particular situation or occasion :
approval,noun,b2,Approval?,the feeling of having a positive opinion of someone or something:
approve,verb,b2,I approve.,to have a positive opinion of someone or something:
approximately,adverb,b1,Approximately.,close to a particular number or time although not exactly that number or time :
April,noun,a1,April.,"the fourth month of the year , after March and before May:"
architect,noun,a2,I'm an architect.,a person whose job is to design new buildings and make certain that they are built correctly
area,noun,a1,Service areas. | This is a restricted area.,"a particular part of a place , piece of land , or country :"
argue,verb,a2,Don't argue.,"to speak angrily to someone, telling that person that you disagree with them:"
argument,noun,a2,No arguments. | No argument.,"a disagreement , or the process of disagreeing :"
arise,verb,b2,Arise.,to start to happen or exist :
arm,noun,a1,Present arms! | My arm!,weapons and equipment used to kill and injure people : | either of the two long parts of the upper body that are attached to the shoulders and have the hands at the end:
armed,adjective,b2,Armed police!,using or carrying weapons :
army,noun,a2,You and what army? | The Dark One is gathering all armies to him.,a particular country's fighting force :
around,adverb,a1,Turn around.,"in a position or direction surrounding , or in a direction going along the edge of or from one part to another (of):"
arrange,verb,a2,I'll arrange it.,"to plan , prepare for, or organize something:"
arrangement,noun,a2,We had an arrangement. | I'll make the arrangements.,a plan for how something will happen :
arrest,verb,b1,You're under arrest. | No arrests.,"If the police arrest someone, they take them away to ask them about a crime that they might have committed :"
arrival,noun,b1,Prepare for our arrival.,the fact of arriving somewhere :
arrive,verb,a1,When did you arrive?,"to reach a place , especially at the end of a journey :"
art,noun,a1,Art. | The Greatest Martial Arts Games The Greatest Martial Arts Games,"the making of objects , images , music , etc. that are beautiful or that express feelings : | the making or showing or performance of painting , acting , dancing , and music :"
article,noun,a1,What article?,"a piece of writing on a particular subject in a newspaper or magazine , or on the internet :"
artificial,adjective,b2,It's artificial?,"made by people , often as a copy of something natural :"
artist,noun,a1,We're artists. | I'm an artist.,"someone who paints , draws , or makes sculptures :"
artistic,adjective,b2,Artistic.,relating to art :
ashamed,adjective,b2,Aren't you ashamed?,feeling guilty or embarrassed about something you have done or about a quality in your character :
ask,verb,a1,"Why do you ask? | Anybody asks, we got him out.","to put a question to someone, or to request an answer from someone:"
asleep,adjective,a2,He's asleep.,sleeping or not awake :
aspect,noun,b2,Possible aspect change on target.,"one part of a situation , problem , subject , etc.:"
assignment,noun,b1,I have an assignment for you.,"a piece of work given to someone, typically as part of their studies or job :"
assist,verb,b1,A service-bot will be here to assist you momentarily.,to help :
assistant,adjective,a2,My assistant.,someone who helps someone else to do a job :
associate,verb,b2,This is my associate.,to connect someone or something in your mind with someone or something else :
associated,adjective,b2,Right after she asked me if I associated with any criminals.,connected :
association,noun,b2,Guilt by association.,a group of people who work together in a single organization for a particular purpose :
assume,verb,b2,I assume so.,to accept something to be true without question or proof :
at,preposition,a1,Not at all.,used to show an exact position or particular place :
athlete,noun,a2,I'm an athlete.,"a person who is very good at sports or physical exercise , especially one who competes in organized events :"
atmosphere,noun,b1,That's the atmosphere processor?,the mixture of gases around the earth :
attack,noun,a2,Saruman attacks from Isengard. | Attack!,to try to hurt or defeat using violence :
attempt,noun,b2,I try to show the schemers how pathetic their attempts to control things really are. | Do not attempt to adjust the picture.,"to try to do something, especially something difficult :"
attend,verb,a2,I have some business to attend to.,"to go to an event , place , etc.:"
attention,exclamation,a2,Attention!,"notice , thought , or interest :"
