word,sentence,word_mean
henry,"What do you think, Henry?",a young man from a high social class who speaks loudly and behaves in a noticeable way in public
aye,All those in favor say aye.,"another word for ""yes"""
billy,"Billy, what are you doing?",a metal container used for cooking outside over a fire
admit,Why don't you admit it?,"to agree that something is true , especially unwillingly"
closed,"Closed-Captioned By J.R. Media Services, Inc.",not open
pardon,"Oh, I beg your pardon, sir.",to forgive someone for something they have said or done. This word is often used in polite expressions
legs,What has four legs and is always ready to travel?,one of the parts of the body of a human or animal that is used for standing or walking
burn,I was in that movie Burn.,"to be hurt , damaged , or destroyed by fire or extreme heat , or to cause this to happen"
ourselves,Let's not get ahead of ourselves.,"used when the subject of the verb is ""we"" or the speaker and one or more others , and the object is the same group of people"
max,"By the way, my name is Max.","informal for maximum , often used after an amount"
decide,You'll have to decide.,"to choose something, especially after thinking carefully about several possibilities"
hole,Bogs spent a week in the hole.,"an empty space in an object , usually with an opening to the object's surface , or an opening that goes completely through an object"
spot,And the signature was a spot-on match.,"a small , usually round area of colour that is differently coloured or lighter or darker than the surface around it"
nervous,You're making me nervous.,worried and anxious
learned,When you can walk its length and leave no trace you will have learned.,A learned person has studied for a long time and has a lot of knowledge
ms,Since when did you start using Ms Gennero?,written abbreviation for manuscript
mention,Now that you mention it...,"to speak about something quickly , giving little detail or using few words"
leg,You're pulling my leg.,one of the parts of the body of a human or animal that is used for standing or walking
plenty,We have plenty of time.,"(the state of having) enough or more than enough, or a large amount"
locked,I thought all you Guinea hoods were locked up!,past simple and past participle of lock
names,I enter the names on this clipboard here.,"the word or words that a person , thing, or place is known by"
would've,You would've been a nicer person.,contraction of would have
empty,But still the place you live in is that much more drab and empty that they're gone.,not containing any things or people
warm,A warm place with no memory.,"having or producing a comfortably high temperature , although not hot"
cell,Take him back to his cell.,the smallest basic unit of a plant or animal
kitchen,I'll be in the kitchen.,"a room where food is kept , prepared , and cooked and where the dishes are washed"
summer,As clear as an azure sky of deepest summer.,"the season of the year between spring and autumn when the weather is warmest , lasting from June to September north of the equator and from December to March south of the equator"
arrived,"When they arrived, you went up to the house and murdered them.",past simple and past participle of arrive
fit,Fit as a fiddle And ready for love,to be the right size or shape to go into a particular space
however,"And follow every order, however ridiculous.",despite whatever amount or degree
fellow,For he's a jolly good fellow,"used to refer to someone who has the same job or interests as you, or is in the same situation as you"
london,London Bridge is falling down,"the capital city of England and the United Kingdom, in the south-east of England on the River Thames. It has a population of over 13 million people and is the location of the UK Parliament, the King's main home Buckingham Palace, the Bank of England , and the London Stock Exchange"
everywhere,I've been looking for you everywhere.,"to, at, or in all places or the whole of a place"
cost,How much does it cost?,"the amount of money needed to buy , do, or make something"
risk,"Risk goes up, price goes up.",the possibility of something bad happening
knock,Will you knock it off?,"to repeatedly hit something, producing a noise"
steal,"You steal from me, you're dead.",to take something without the permission or knowledge of the owner and keep it
sweetheart,"What do you want, sweetheart?",a person that someone has a romantic relationship with
inspector,"How do you do, Inspector?",someone whose job is to officially inspect something
herself,She's one lady who knows how to take care of herself.,"used to refer to a female object of a verb , that is the same person or animal as the subject of the verb"
complete,The circle is now complete.,to make whole or perfect
lay,Now I lay me down to sleep.,"to put something in especially a flat or horizontal position , usually carefully or for a particular purpose"
chicken,Tell him about the chicken.,"a type of bird kept on a farm for its eggs or its meat , or the meat of this bird that is cooked and eaten"
reading,You may remember reading about it.,the skill or activity of getting information from books
heaven,"Our Father, who art in heaven, hallowed be thy name.","in some religions , the place , sometimes imagined to be in the sky , where God or the gods live and where good people are believed to go after they die , so that they can enjoy perfect happiness"
roll,"rock, rock, rock, rock, rock 'n' roll high school",to ( cause something to) move somewhere by turning over and over or from side to side
support,Thank you for your support.,"to agree with and give encouragement to someone or something because you want him, her, or it to succeed"
witness,The witness may step down.,"a person who sees an event happening , especially a crime or an accident"
fired,"Not six shots fired, but eight.",using the stated type of fuel
hat,Where did you get that hat?,a covering for the head that is not part of a piece of clothing
