word,sentence,word_mean
death,It's a matter of life and death.,the end of life
everyone,The love boat promises something for everyone.,every person
check,We'll check it out.,"to make certain that something or someone is correct , safe , or suitable by examining it, him, or her quickly"
minutes,I'll be back in a few minutes.,the written record of what was said at a meeting
probably,"Yeah, you're probably right.",used to mean that something is very likely
hit,Why did you hit me?,"to move your hand or an object onto the surface of something so that it touches it, usually with force"
drink,Would you like something to drink?,(an amount of) liquid that is taken into the body through the mouth
aren't,Aren't you ashamed of yourself?,short form of are not
thinking,What are you thinking about?,the activity of using your mind to consider something
far,This has gone far enough.,"at, to, or from a great distance in space or time"
shall,What shall we do now?,"used instead of ""will"" when the subject is ""I"" or ""we"""
somebody,I want you to meet somebody.,someone
everybody,Where the hell is everybody?,→ everyone
eyes,I saw it with my own eyes.,one of the two organs in your face that are used for seeing
knows,He knows what he's doing.,to have information in your mind
gave,Who gave it to you?,past simple of give
hands,Get your hands off me!,"the part of the body at the end of the arm that is used for holding , moving , touching , and feeling things"
happen,It'll never happen again.,(of a situation or an event ) to have existence or come into existence
water,I'll get you some water.,"a clear liquid , without colour or taste , that falls from the sky as rain and is necessary for animal and plant life"
mine,Your guess is as good as mine.,the one(s) belonging to or connected with me
exactly,I know exactly how you feel.,used when you are giving or asking for information that is completely correct
change,What made you change your mind?,"to exchange one thing for another thing, especially of a similar type"
stuff,What is all this stuff?,"a substance , especially when you do not know or say exactly what it is"
kids,"So come and join us, all you kids, For lots of fun and laughter",a child
fire,It was the year of fire.,"the state of burning that produces flames that send out heat and light , and might produce smoke"
crazy,You're driving me crazy.,stupid or not reasonable
part,I don't want any part of it.,some but not all of a thing
wish,Your wish is my command.,used with the past simple to express that you feel sorry or sad about a state or situation that exists at the moment
working,We're working on it.,relating to work
anyway,What are you doing here anyway?,"whatever else is happening , without considering other things"
chance,This is your last chance.,an occasion that allows something to be done
sleep,Try to get some sleep.,the resting state in which the body is not active and the mind is unconscious
captain,This is the captain speaking.,the leader of a sports team
taking,Where are you taking me?,present participle of take
phone,We spoke on the phone.,a device that uses either a system of wires along which electrical signals are sent or a system of radio signals to make it possible for you to speak to someone in another place who has a similar device
hurt,I'm not going to hurt you.,"to feel pain in a part of your body , or to injure someone or cause them pain"
stand,"Well, don't just stand there.","to be in a vertical state or to put into a vertical state , especially (of a person or animal ) by making the legs straight"
trouble,What seems to be the trouble?,problems or difficulties
word,Take my word for it.,a single unit of language that has meaning and can be spoken or written
waiting,What are you waiting for?,present participle of wait
quite,"Oh, that's quite all right.",completely
set,It is by will alone I set my mind in motion.,to put something in a particular place or position
its,"Its continuing mission, to explore strange new worlds to seek out new life and new civilisations to boldly go where no one has gone before.",belonging to or relating to something that has already been mentioned
rest,May he rest in peace.,to ( cause someone or something to) stop doing a particular activity or stop being active for a period of time in order to relax and get back your strength
half,You don't know the half of it.,either of the two equal or nearly equal parts that together make up a whole
deal,I'll make a deal with you.,"an agreement or an arrangement , especially in business"
married,How long have you been married?,having a wife or husband
fight,Do you want to fight?,to use physical force to try to defeat another person or group of people
times,How many times do I have to tell you?,on many occasions
read,Don't you read the papers?,to look at words or symbols and understand what they mean
