word,sentence,word_mean
you,What are you talking about?,used to refer to the person or people being spoken or written to
the,What's the matter with you?,used before nouns to refer to particular things or people that have already been talked about or are already known or that are in a situation where it is clear what is happening
to,What are you going to do?,used before a verb to show that it is in the infinitive
and,"Good evening, ladies and gentlemen.","used to join two words, phrases , parts of sentences , or related statements together"
it,I'll take care of it.,"used as the subject of a verb , or the object of a verb or preposition , to refer to a thing, animal , situation , or idea that has already been mentioned"
of,Let's get out of here.,"used to show possession , belonging , or origin"
that,How do you know that?,"used to refer to a person , object , idea , etc. that is separated from the speaker by space or time"
in,I'll be back in a minute.,"inside a container , place , or area , or surrounded or closed off by something"
is,What the hell is that?,he/she/it form of be
me,What do you want me to do?,"used, usually as the object of a verb or preposition , to refer to the person speaking or writing"
what,What are you talking about?,used to ask for information about people or things
this,What the hell is this?,"used for a person , object , idea , etc. to show which one is referred to"
for,What can I do for you?,intended to be given to
on,What the hell is going on?,"used to show that something is in a position above something else and touching it, or that something is moving into such a position"
my,Get out of my way!,of or belonging to me (= the speaker or writer )
your,Are you out of your mind?,belonging or relating to the person or group of people being spoken or written to
have,You have the right to remain silent.,used with the past participle of other verbs to form the present perfect and past perfect
we,What are we gonna do?,used as the subject of a verb to refer to a group including the speaker and at least one other person
do,What can I do for you?,"used with another verb to form questions and negative sentences , including negative orders , and sometimes in affirmative sentences for reasons of style"
no,"Oh, no, no, no, no.",not any; not one; not a
don't,I don't know what you're talking about.,short form of do not
be,You'll be all right.,"used to say something about a person , thing, or state , to show a permanent or temporary quality , state , job , etc"
i'm,You know what I'm talking about.,short form of I am
are,What are you talking about?,we/you/they form of be
was,What the hell was that?,past simple of be
he,I don't know where he is.,"used as the subject of a verb to refer to a man, boy , or male animal that has already been mentioned"
not,You're not going anywhere.,"used to form a negative phrase after verbs like ""be"", ""can"", ""have"", ""will"", ""must"", etc., usually used in the short form ""n't"" in speech"
it's,It's good to see you.,short form of it is
know,I don't know what you're talking about.,to have information in your mind
with,What's the matter with you?,used to say that people or things are in a place together or are doing something together
all,You'll be all right.,"every one (of), or the complete amount or number (of), or the whole (of)"
but,But what can we do?,"used to introduce an added statement , usually something that is different from what you have said before"
here,What are you doing here?,"in, at, or to this place"
just,Just the two of us.,"now, very soon , or very recently"
get,Let's get out of here.,"to obtain , buy , or earn something"
so,What took you so long?,"very, extremely , or to such a degree"
like,How do you like that?,to enjoy or approve of something or someone
go,Where do you want to go?,to travel or move to another place
right,You'll be all right.,correct
if,If you'll excuse me.,used to say that a particular thing can or will happen only after something else happens or becomes true
out,Let's get out of here.,used to show movement away from the inside of a place or container
him,What's the matter with him?,"used, usually as the object of a verb or preposition , to refer to a man, boy , or male animal that has just been mentioned or is just about to be mentioned"
up,What are you up to?,"towards a higher position ; towards a higher value , number , or level"
can,What can I do for you?,to be able to
oh,"Oh, thank you very much.","used to express different emotions , such as surprise , disappointment , and pleasure , often as a reaction to something someone has said"
about,What are you talking about?,"on the subject of, or connected with"
you're,I don't know what you're talking about.,short form of you are
now,What do we do now?,"at the present time , not in the past or future"
well,"Well, what do you think?","in a good way, to a high or satisfactory standard"
come,"Come on, come on, come on.",to move or travel towards the speaker or with the speaker
at,What are you looking at?,used to show an exact position or particular place
there,What are you doing there?,"(to, at, or in) that place"
one,"One, two, three, four, five.",the number 1
they,What are they doing here?,"used as the subject of a verb to refer to people , animals , or things already mentioned or, more generally , to a group of people not clearly described"
that's,That's very kind of you.,short form of that is or that has
got,What have you got there?,past simple and past participle of get
her,What's the matter with her?,"used, usually as the object of a verb or preposition , to refer to a woman, girl , or female animal that has just been mentioned or is just about to be mentioned"
how,How do you know that?,"in what way, or by what methods"
will,Everything will be all right.,"used to talk about what is going to happen in the future , especially things that you are certain about or things that are planned"
yeah,"Yeah, I know what you mean.",yes
want,What do you want me to do?,"to wish for a particular thing or plan of action . ""Want"" is not used in polite requests"
see,I'll see what I can do.,to be conscious of what is around you by using your eyes
she,What does she look like?,"used as the subject of a verb to refer to a woman, girl , or female animal that has already been mentioned"
good,It's good to see you.,"very satisfactory , enjoyable , pleasant , or interesting"
think,What do you think you're doing?,to believe something or have an opinion or idea
as,It's as simple as that.,used in comparisons to refer to the degree of something
yes,"Yes, thank you very much.",used to express willingness or agreement
why,Why do you say that?,for what reason
did,Why did you do that?,past simple of do
his,Did you see his face?,"belonging to or connected with a man, boy , or male animal that has just been mentioned or is known about"
from,What do you want from me?,used to show the place where someone or something starts
i'll,I'll take care of it.,short form of I shall or I will
going,What are you going to do?,how quickly you do something
when,When did you get back?,at what time ; at the time at which
time,You're wasting your time.,"the part of existence that is measured in minutes , days , years , etc., or this process considered as a whole"
